"","OutcomeType","OutcomeLabel_I","Type of outcome?","n"
"23","Locomotor activity","LMA - L","Behavioural (primary): locomotor hyperactivity, PPI impairment",13
"24","Locomotor activity","LMA - L - Olanz","Behavioural (primary): locomotor hyperactivity, PPI impairment",7
"25","Locomotor activity","Loc15","Behavioural (primary): locomotor hyperactivity, PPI impairment",18
"26","Locomotor activity","Loc60","Behavioural (primary): locomotor hyperactivity, PPI impairment",6
"27","Locomotor activity","Locomotor activity – total distance travelled","Behavioural (primary): locomotor hyperactivity, PPI impairment",16
"28","Locomotor activity","MK-801 locomotor hyperactivity – total distance","Behavioural (primary): locomotor hyperactivity, PPI impairment",6
"29","Locomotor activity","MK-801: OFT","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"30","Locomotor activity","MWM - target quadrant swimming distance","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",2
"31","Locomotor activity","OFT","Behavioural (primary): locomotor hyperactivity, PPI impairment",30
"32","Locomotor activity","OFT - Distance travelled","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",2
"33","Locomotor activity","OFT - average speed","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",2
"34","Locomotor activity","OFT locomotor speed","Behavioural (primary): locomotor hyperactivity, PPI impairment",5
"35","Locomotor activity","Open field – distance travelled","Behavioural (primary): locomotor hyperactivity, PPI impairment",7
"36","Locomotor activity","d-Amphetamine: OFT","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"37","Locomotor activity","horizontal activity","Behavioural (primary): locomotor hyperactivity, PPI impairment",27
"38","Locomotor activity","locomotion","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"39","Locomotor activity","open field test distance travelled in 1hr","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"40","Locomotor activity","open field test distance travelled per 20 min","Behavioural (primary): locomotor hyperactivity, PPI impairment",18
"41","Locomotor activity","total distance (Mean +/- SEM)","Behavioural (primary): locomotor hyperactivity, PPI impairment",1
"42","Locomotor activity","total distance travelled","Behavioural (primary): locomotor hyperactivity, PPI impairment",1
"43","Locomotor activity","vertical activity","Behavioural (primary): locomotor hyperactivity, PPI impairment",9
"44","Neurobiological outcome (mechanistic) e.g. dopaminergic/seritonergic/glutamatergic signalling","Striatal dopamine synthesis capacity","Neurobiological outcome (mechanistic) e.g. dopaminergic/seritonergic/glutamatergic signalling",1
"45","Prepulse inhibition","MK-801: PPI: +12dB","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"46","Prepulse inhibition","MK-801: PPI: +3dB","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"47","Prepulse inhibition","MK-801: PPI: +6dB","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"48","Prepulse inhibition","PPI","Behavioural (primary): locomotor hyperactivity, PPI impairment",1
"49","Prepulse inhibition","PPI - 87","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"50","Prepulse inhibition","PPI - 90","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"51","Prepulse inhibition","PPI - 93","Behavioural (primary): locomotor hyperactivity, PPI impairment",2
"52","Prepulse inhibition","PPI 74","Behavioural (primary): locomotor hyperactivity, PPI impairment",12
"53","Prepulse inhibition","PPI 78","Behavioural (primary): locomotor hyperactivity, PPI impairment",12
"54","Prepulse inhibition","PPI 82","Behavioural (primary): locomotor hyperactivity, PPI impairment",12
